round,category,value,question,answer,special
board,People,200,Who built the ark before the great flood?,Noah,no
board,People,400,Who interpreted Pharaoh's dreams in Egypt?,Joseph,no
board,People,600,Which young shepherd defeated Goliath?,David,no
board,People,800,Which prophet was swallowed by a great fish?,Jonah,no
board,People,1000,Who is named as the first Christian martyr in Acts?,Stephen,no
board,Places,200,In which town was Jesus born?,Bethlehem,no
board,Places,400,The walls of which city fell after Israel marched around them?,Jericho,no
board,Places,600,On which mountain did Moses receive the Ten Commandments?,Mount Sinai,no
board,Places,800,On the road to which city did Saul encounter Jesus?,Damascus,no
board,Places,1000,In which garden did Jesus pray before His arrest?,Gethsemane,no
board,Miracles,200,At a wedding what did Jesus turn water into?,Wine,no
board,Miracles,400,Jesus fed a crowd with five loaves and how many fish?,Two fish,no
board,Miracles,600,Whom did Jesus call out of the tomb after four days?,Lazarus,no
board,Miracles,800,What did Jesus calm while crossing the Sea of Galilee?,A storm / the wind and waves,no
board,Miracles,1000,In which river did Naaman wash seven times and become healed?,The Jordan River,no
board,Parables,200,Which compassionate traveler helped an injured man beside the road?,The Good Samaritan,no
board,Parables,400,How many sheep were left while the shepherd searched for the one that was lost?,Ninety-nine,no
board,Parables,600,"In Jesus' story, seed fell on a path, rocky ground, thorns, and what fourth place?",Good soil,no
board,Parables,800,Which son returned home and was welcomed with a celebration?,The prodigal son / lost son,no
board,Parables,1000,In the parable of the talents what did the servant with one talent do with it?,He buried it in the ground,no
board,Bible Books,200,What is the first book of the Bible?,Genesis,no
board,Bible Books,400,Which book is a collection of songs and prayers?,Psalms,no
board,Bible Books,600,What are the first four books of the New Testament collectively called?,The Gospels,no
board,Bible Books,800,Which New Testament letter comes immediately after Acts?,Romans,no
board,Bible Books,1000,What is the final book of the New Testament?,Revelation,no
board,By the Numbers,200,How many days did God use for creation before resting on the seventh?,Six,no
board,By the Numbers,400,How many apostles did Jesus choose?,Twelve,no
board,By the Numbers,600,How many plagues came upon Egypt in Exodus?,Ten,no
board,By the Numbers,800,For how many years did Israel wander in the wilderness?,Forty years,yes
board,By the Numbers,1000,How many qualities are listed as the fruit of the Spirit in Galatians 5?,Nine,no
final,Words to Live By,0,"In 1 Corinthians 13, which three qualities remain, with love named as the greatest?","Faith, hope, and love",no
